Objects,,,,,,,
100,,,,,,,
,,Global Angle jet1:jet1,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,0.005042,0.002798,-0.141705,74.016541,102.971489,157.237061
2,0,0.006158,0.003137,-0.142559,74.058289,102.892799,157.212357
3,0,0.004806,0.002808,-0.141658,74.016991,102.964493,157.226013
4,0,0.006306,0.00312,-0.142575,74.060173,102.871353,157.209061
5,0,0.006287,0.003088,-0.142616,74.074547,102.878067,157.221527
6,0,0.00624,0.003072,-0.142572,74.055511,102.870003,157.216629
7,0,0.004561,0.002851,-0.141544,74.046333,102.986847,157.218231
8,0,0.004609,0.002909,-0.14161,74.013748,102.977806,157.196671
9,0,0.006359,0.003203,-0.142581,74.066322,102.895073,157.220047
10,0,0.004551,0.002846,-0.141602,74.044357,103.002289,157.18396
11,0,0.006885,0.002854,-0.142598,74.056549,102.844315,157.165054
12,0,0.006087,0.003076,-0.14256,74.068802,102.904449,157.196548
13,0,0.004586,0.002907,-0.141622,74.022293,102.983231,157.185043
14,0,0.0064,0.003162,-0.142661,74.053085,102.866409,157.201614
15,0,0.006232,0.00319,-0.142522,74.048775,102.880478,157.189377
16,0,0.006498,0.003191,-0.14273,74.070038,102.875633,157.192627
17,0,0.006126,0.003097,-0.142514,74.066948,102.899849,157.191544
18,0,0.006348,0.003162,-0.142584,74.065979,102.876823,157.200989
19,0,0.005103,0.003015,-0.141982,74.031586,102.933693,157.177917
20,0,0.005906,0.00305,-0.142449,74.029869,102.894821,157.185181
21,0,0.004824,0.002724,-0.141722,74.021957,102.965034,157.215881
22,0,0.006154,0.003044,-0.142599,74.065277,102.86496,157.226135
23,0,0.004801,0.002879,-0.141667,74.029366,102.969818,157.223251
24,0,0.006139,0.00312,-0.142673,74.077042,102.857262,157.2117
25,0,0.00632,0.003137,-0.142642,74.063339,102.838104,157.224777
26,0,0.004737,0.002697,-0.141626,74.007553,102.942085,157.23259
27,0,0.005006,0.002844,-0.141841,74.025345,102.944344,157.225174
28,0,0.006105,0.00313,-0.142628,74.045662,102.861801,157.211853
29,0,0.00629,0.003113,-0.142614,74.04834,102.837379,157.212357
30,0,0.004877,0.002876,-0.141671,74.016678,102.956863,157.239731
31,0,0.005964,0.003097,-0.142452,74.070084,102.854713,157.215622
